Key,Key Description,columnType,Source,Parent
 spotted sandpiper,,STRING,,ManifestColumn
 spotted scat,,STRING,,ManifestColumn
 spotty,,STRING,,ManifestColumn
 star-nosed mole,,STRING,,ManifestColumn
 starry smooth-hound,,STRING,,ManifestColumn
 sterlet,,STRING,,ManifestColumn
 stoat,,STRING,,ManifestColumn
 stone loach,,STRING,,ManifestColumn
 stoplight loosejaw,,STRING,,ManifestColumn
 striped aplochiton,,STRING,,ManifestColumn
 striped catfish,,STRING,,ManifestColumn
 striped dwarf hamster,,STRING,,ManifestColumn
 sunda slow loris,,STRING,,ManifestColumn
 surucua trogon,,STRING,,ManifestColumn
 swainson's thrush,,STRING,,ManifestColumn
 swamp sparrow,,STRING,,ManifestColumn
 swift parrot,,STRING,,ManifestColumn
 taiga bean goose,,STRING,,ManifestColumn
 tammar wallaby,,STRING,,ManifestColumn
 tawny frogmouth,,STRING,,ManifestColumn
 tawny owl,,STRING,,ManifestColumn
 thickback sole,,STRING,,ManifestColumn
 thicklip grey mullet,,STRING,,ManifestColumn
 thorny skate,,STRING,,ManifestColumn
 three-bearded rockling,,STRING,,ManifestColumn
 three-spined stickleback,,STRING,,ManifestColumn
 tiny cayenne caecilian,,STRING,,ManifestColumn
 trahira,,STRING,,ManifestColumn
 transcaucasian mole vole,,STRING,,ManifestColumn
 tree swallow,,STRING,,ManifestColumn
 true's beaked whale,,STRING,,ManifestColumn
 trumpet flake-ascidian,,STRING,,ManifestColumn
 tub gurnard,,STRING,,ManifestColumn
 tufted duck,,STRING,,ManifestColumn
 tufted titmouse,,STRING,,ManifestColumn
 tundra swan,,STRING,,ManifestColumn
 tunicate,,STRING,,ManifestColumn
 two-lined caecilian,,STRING,,ManifestColumn
 two-spotted clingfish,,STRING,,ManifestColumn
 tyrrhenian wall lizard,,STRING,,ManifestColumn
 Unknown,,STRING,,ManifestColumn
 vaquita,,STRING,,ManifestColumn
 vaucher's wall lizard,,STRING,,ManifestColumn
 village indigobird,,STRING,,ManifestColumn
 warty frogfish,,STRING,,ManifestColumn
 western gull,,STRING,,ManifestColumn
 western jackdaw,,STRING,,ManifestColumn
 western terrestrial garter snake,,STRING,,ManifestColumn
 whiskered bat,,STRING,,ManifestColumn
 whiskered treeswift,,STRING,,ManifestColumn
 white-beaked dolphin,,STRING,,ManifestColumn
 white-breasted nuthatch,,STRING,,ManifestColumn
 white-eyed vireo,,STRING,,ManifestColumn
 white-faced whistling duck,,STRING,,ManifestColumn
 white-footed mouse,,STRING,,ManifestColumn
 white-tailed deer,,STRING,,ManifestColumn
 white-tailed eagle,,STRING,,ManifestColumn
 white-throated dipper,,STRING,,ManifestColumn
 white-throated sparrow,,STRING,,ManifestColumn
 whooper swan,,STRING,,ManifestColumn
 whooping crane,,STRING,,ManifestColumn
 wild boar,,STRING,,ManifestColumn
 wild turkey,,STRING,,ManifestColumn
 wood duck,,STRING,,ManifestColumn
 wood mouse,,STRING,,ManifestColumn
 wood thrush,,STRING,,ManifestColumn
 yellow warbler,,STRING,,ManifestColumn
 yellow-bellied toad,,STRING,,ManifestColumn
 yellow-breasted chat,,STRING,,ManifestColumn
 yellow-legged gull,,STRING,,ManifestColumn
 yellow-rumped warbler,,STRING,,ManifestColumn
 yellow-spotted rock hyrax,,STRING,,ManifestColumn
 yellow-throated sandgrouse,,STRING,,ManifestColumn
 yellow-throated warbler,,STRING,,ManifestColumn
 yellowfin tuna,,STRING,,ManifestColumn
 zebra finch,,STRING,,ManifestColumn
 zebrafish,,STRING,,ManifestColumn
 zig-zag eel,,STRING,,ManifestColumn
